region,lon,lat,e,d,date,road_type,accident_type,collision_type,severity,weather,vehicle_type,car_brand,age
Prague,14.469853653009825,50.068923646913305,-1045529,-739644,24.01.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,HONDA,46
Prague,14.469853653009825,50.068923646913305,-1045529,-739644,24.01.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,30
Prague,14.4313873550711,50.080219987044835,-1043910,-742201,25.01.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,VOLKSWAGEN,38
Prague,14.409573838299046,50.09165725420425,-1042437,-743574,25.01.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,58
Prague,14.472095222599242,50.06972016633985,-1045463,-739473,25.01.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Motorcycle,PIAGGIO,31
Prague,14.392314129024669,50.05945701447652,-1045816,-745287,26.01.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,CITROEN,48
Prague,14.441180826199906,50.114556464193505,-1040222,-740987,27.01.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,OPEL,52
Prague,14.431914112223248,50.06184283779037,-1045940,-742442,29.01.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,33
Prague,14.299977109807442,50.052204843539535,-1045707,-751947,02.02.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,22
Central Bohemia,14.473602246659858,49.98003643072209,-1055360,-740719,03.02.2023,Highway,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,34
Prague,14.47691869251521,50.104593646072686,-1041667,-738605,03.02.2023,Local Road,Tram Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,39
Prague,14.308033746479069,50.08531667306728,-1042139,-750868,06.02.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,ŠKODA,28
Prague,14.4559772986446,50.121280121594154,-1039625,-739837,07.02.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Truck,ŠKODA,43
Prague,14.4559772986446,50.121280121594154,-1039625,-739837,07.02.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,19
Prague,14.316610833361917,50.0239473475243,-1048984,-751200,08.02.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,FORD,20
Prague,14.42201051600024,50.039446944326855,-1048311,-743484,09.02.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,RENAULT,56
Prague,14.435014017900427,50.03305662449212,-1049142,-742658,10.02.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,PEUGEOT,22
Prague,14.431721938089137,50.12744309358608,-1038710,-741462,10.02.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,MAZDA,46
Prague,14.392795022941854,50.11134394525477,-1040104,-744464,10.02.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,24
Prague,14.469029335199892,50.069086935924936,-1045503,-739700,12.02.2023,Local Road,Tram Collision,Side (Lateral),Slight,Good,Car,ŠKODA,39
Prague,14.355971551840108,50.04940543296794,-1046567,-748018,14.02.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,TOYOTA,33
Prague,14.355971551840108,50.04940543296794,-1046567,-748018,14.02.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Truck,PEUGEOT,29
Prague,14.406442044940766,50.059912598518636,-1045904,-744278,15.02.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,AUDI,35
Prague,14.524346430105913,50.103694782812774,-1042225,-735257,06.02.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Ice,Car,ŠKODA,48
Prague,14.31606804158745,50.023263281445146,-1049054,-751249,15.02.2023,Local Road,Moving Vehicle Collision,Frontal,Serious,Good,Car,ŠKODA,38
Prague,14.31606804158745,50.023263281445146,-1049054,-751249,15.02.2023,Local Road,Moving Vehicle Collision,Frontal,Serious,Good,Car,HONDA,76
Prague,14.430345073193427,50.064898652757016,-1045588,-742507,15.02.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,VOLVO,55
Prague,14.511861670464961,50.102691101477404,-1042215,-736157,15.02.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,28
Prague,14.41497318720657,50.088841099179696,-1042800,-743234,16.02.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,BMW,22
Prague,14.438762512572838,50.040585395072256,-1048349,-742278,17.02.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,37
Prague,14.294011999469857,50.10478549635376,-1039856,-751563,18.02.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,AUDI,30
Prague,14.286420363894486,50.06298075616638,-1044386,-752743,19.02.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,VOLKSWAGEN,37
Prague,14.53646940993128,50.05405080327264,-1047813,-735142,21.02.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Motorcycle,SUZUKI,18
Prague,14.278710584646387,50.05352780787629,-1045351,-753435,22.02.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,VOLKSWAGEN,45
Prague,14.310052216435453,50.07572061180417,-1043216,-750872,23.02.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,VOLKSWAGEN,45
Prague,14.53051124905261,50.1647579658987,-1035555,-733904,23.02.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Truck,FORD,35
Prague,14.389289138161756,50.01484943141435,-1050701,-746180,24.02.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,VOLKSWAGEN,34
Prague,14.433780230269049,50.08116677237614,-1043829,-742017,24.02.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,VOLVO,48
Prague,14.37460585579859,50.07225985472818,-1044232,-746348,24.02.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,DACIA,23
Prague,14.460711140564968,50.06650199328602,-1045707,-740329,26.02.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,FORD,26
Prague,14.349288071274223,50.08026148643391,-1043102,-748021,28.02.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Truck,RENAULT,42
Prague,14.517885904114644,50.11873627430117,-1040505,-735489,02.03.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,VOLKSWAGEN,48
Prague,14.493120222204613,50.00043383168857,-1053302,-739025,02.03.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,PEUGEOT,52
Prague,14.493120222204613,50.00043383168857,-1053302,-739025,02.03.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,ŠKODA,48
Prague,14.439423326835934,50.07732757155329,-1044307,-741675,02.03.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,HONDA,33
Prague,14.454353376925951,50.09554462218411,-1042445,-740341,02.03.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,ŠKODA,23
Prague,14.385015088861541,50.09998842618095,-1041279,-745188,03.03.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,ŠKODA,45
Prague,14.385015088861541,50.09998842618095,-1041279,-745188,03.03.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,ŠKODA,51
Prague,14.382700101305508,50.08816481136185,-1042559,-745532,03.03.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,58
Prague,14.469722805577955,50.0401167064206,-1048702,-740088,05.03.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,58
Prague,14.406115048422363,50.075204174766625,-1044216,-744069,05.03.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,PEUGEOT,31
Prague,14.406115048422363,50.075204174766625,-1044216,-744069,05.03.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,ŠKODA,76
Prague,14.414945919998837,50.048695418358484,-1047223,-743845,06.03.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,55
Prague,14.456748863145636,50.11746395306116,-1040053,-739840,07.03.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Truck,PEUGEOT,43
Prague,14.497658488067403,50.14858650818769,-1037020,-736473,07.03.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,56
Prague,14.449734125325026,50.04471381063963,-1048001,-741437,07.03.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Motorcycle,HONDA,19
Prague,14.340175224890292,50.07784173733631,-1043279,-748704,08.03.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,CITROEN,39
Prague,14.340175224890292,50.07784173733631,-1043279,-748704,08.03.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,VOLKSWAGEN,40
Prague,14.592817132232728,50.08072033151654,-1045416,-730746,08.03.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,BMW,26
Prague,14.597081260693678,50.12142057133059,-1040971,-729837,09.03.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Truck,FORD,47
Prague,14.41679816835074,50.127185144278776,-1038593,-742523,14.03.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,20
Prague,14.503742908686487,50.11129813251409,-1041188,-736603,14.03.2023,Local Road,Tram Collision,Rear,Slight,Good,Motorcycle,HONDA,50
Prague,14.426014423486684,50.015024444121664,-1051041,-743570,14.03.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,VOLKSWAGEN,22
Prague,14.464784416552353,50.07803286127723,-1044476,-739866,14.03.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,APRILIA,21
Prague,14.459861512152015,50.04851239325711,-1047681,-740661,15.03.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,HONDA,32
Prague,14.409387977784316,50.075331044579855,-1044234,-743835,15.03.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Snow,Car,KIA,28
Prague,14.53773347133409,50.077018873305754,-1045294,-734708,16.03.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Truck,RENAULT,26
Prague,14.36516818111243,50.090508337272446,-1042129,-746739,20.03.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,KIA,36
Prague,14.349282316959194,50.08028820458817,-1043099,-748021,22.03.2023,Local Road,Tram Collision,From Side (T-bone),Slight,Good,Motorcycle,YAMAHA,24
Prague,14.417411337604841,50.13117833446532,-1038159,-742419,22.03.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Motorcycle,HONDA,16
Prague,14.505492899320286,50.14414673782431,-1037585,-735985,22.03.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Motorcycle,HONDA,37
Prague,14.459659952676901,50.113210223703696,-1040550,-739698,23.03.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Motorcycle,HONDA,54
Prague,14.507083532767135,50.0681519442557,-1045975,-737015,18.03.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,VOLKSWAGEN,56
Prague,14.3983020084605,50.06118691569583,-1045684,-744836,24.03.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,YAMAHA,28
Prague,14.397351047589291,50.075297847849185,-1044120,-744689,25.03.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,FIAT,27
Prague,14.389435459997076,50.01488967688981,-1050698,-746169,26.03.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Light Rain,Car,VOLKSWAGEN,36
Prague,14.466434732539906,50.090021412554826,-1043171,-739568,26.03.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Light Rain,Car,ŠKODA,52
Prague,14.543582186287692,50.106467142803155,-1042105,-733852,27.03.2023,Local Road,Tram Collision,From Side (T-bone),Slight,Good,Car,HYUNDAI,42
Prague,14.449183775364645,50.12196055013754,-1039484,-740308,27.03.2023,Local Road,Tram Collision,Frontal,Slight,Good,Car,DACIA,45
Prague,14.506090585660136,50.12350959799875,-1039865,-736253,28.03.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,TOYOTA,75
Prague,14.384388166970247,50.12945842769315,-1038026,-744784,29.03.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,APRILIA,62
Prague,14.403663087821394,50.06821582160516,-1044962,-744349,30.03.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Rain,Car,ŠKODA,40
Prague,14.533121363184657,50.10149597826886,-1042552,-734668,30.03.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,57
Prague,14.395322008861095,50.07160516481422,-1044507,-744889,30.03.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,50
Prague,14.47244216229199,50.07988757164415,-1044346,-739295,30.03.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Light Rain,Car,VOLKSWAGEN,31
Prague,14.528659809347491,50.04819420762686,-1048383,-735784,31.03.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Rain,Car,JEEP,50
Prague,14.384653331362108,50.07814546716812,-1043682,-745546,31.03.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,68
Prague,14.413757602033764,50.116796331702275,-1039708,-742896,01.04.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,DACIA,55
Prague,14.518482442091544,50.05533227331703,-1047498,-736399,03.04.2023,Local Road,Moving Vehicle Collision,Frontal,Serious,Good,Motorcycle,HONDA,24
Prague,14.490497437268687,50.042019735644104,-1048694,-738585,04.04.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,62
Prague,14.436588387755304,50.03294185457763,-1049170,-742548,04.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,VOLVO,27
Prague,14.42751744350818,50.075493966866865,-1044393,-742547,04.04.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Motorcycle,HONDA,47
Prague,14.399377177106006,50.09585388319209,-1041875,-744233,05.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,46
Prague,14.556019010083704,50.04301290948444,-1049218,-733920,06.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,CITROEN,43
Prague,14.561487406215488,50.1331374915819,-1039338,-732184,06.04.2023,Local Road,Moving Vehicle Collision,Frontal,Fatal,Good,Motorcycle,KAWASAKI,52
Prague,14.504777412063946,50.13833991413765,-1038218,-736123,06.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Motorcycle,HONDA,17
Prague,14.490246092260943,50.10734490855156,-1041493,-737619,06.04.2023,Local Road,Tram Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,32
Prague,14.403772196340277,50.074488087146754,-1044272,-744246,06.04.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,HONDA,26
Prague,14.430180232841444,50.07517598540118,-1044454,-742363,08.04.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,38
Prague,14.396709717129692,50.09519970196114,-1041921,-744432,10.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Motorcycle,KTM,59
Prague,14.462253347163157,50.09680404274252,-1042383,-739762,11.04.2023,Local Road,Tram Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,44
Prague,14.458270376983778,50.120257129209385,-1039760,-739690,11.04.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,29
Prague,14.47839406555304,50.04009166369127,-1048789,-739473,11.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,HYUNDAI,40
Prague,14.470680740893622,50.09074949166159,-1043132,-739256,12.04.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,VOLKSWAGEN,46
Prague,14.580849897166903,50.051696012104316,-1048500,-732028,12.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,32
Prague,14.31693608272139,50.02387662572167,-1048995,-751178,13.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Truck,VOLKSWAGEN,40
Prague,14.31693608272139,50.02387662572167,-1048995,-751178,13.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,HYUNDAI,54
Prague,14.493215629062018,50.09921183548966,-1042418,-737531,14.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Rain,Car,ŠKODA,49
Prague,14.522732510139424,50.120639977118024,-1040342,-735117,14.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Rain,Car,OPEL,57
Prague,14.394243660196553,49.984475322777584,-1054096,-746290,17.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,52
Central Bohemia,14.491844550301101,49.9725159976018,-1056366,-739536,17.04.2023,Highway,Moving Vehicle Collision,Rear,Slight,Good,Truck,SCANIA,35
Prague,14.350959381500106,50.052389486944385,-1046189,-748328,18.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,AUDI,64
Prague,14.498671572874946,49.96379764195914,-1057393,-739182,19.04.2023,Local Road,Moving Vehicle Collision,Rear,Serious,Good,Truck,IVECO,52
Prague,14.456439639775118,50.08251505793286,-1043901,-740390,19.04.2023,Local Road,Tram Collision,Side (Lateral),Slight,Good,Car,RENAULT,33
Prague,14.577864410780636,50.04559238017061,-1049144,-732331,21.04.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,YAMAHA,68
Prague,14.52925184880991,50.104514599663496,-1042182,-734897,21.04.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,28
Prague,14.656711322082497,50.076883633417644,-1046450,-726271,23.04.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,AUDI,34
Prague,14.399113707073687,50.06641432181303,-1045116,-744699,23.04.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Slight,Good,Motorcycle,HARLEY,44
Prague,14.458392830072954,50.071561093826745,-1045127,-740417,24.04.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,VOLKSWAGEN,60
Prague,14.287007183681476,50.11346257187439,-1038831,-751926,26.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Truck,IVECO,26
Prague,14.408198606555063,50.03543567270898,-1048618,-744525,27.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,VOLVO,42
Prague,14.466929741273585,50.100946086529895,-1041972,-739368,27.04.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Motorcycle,PIAGGIO,48
Prague,14.472020985721464,50.05562002223204,-1047016,-739691,28.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,CITROEN,55
Prague,14.316371996381486,50.023944109103454,-1048982,-751217,28.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,28
Prague,14.369421387361715,50.06993770413367,-1044437,-746751,28.04.2023,Local Road,Tram Collision,Side (Lateral),Serious,Rain,Car,AUDI,46
Prague,14.304780355475945,50.077073126993405,-1043015,-751225,29.04.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Rain,Car,AUDI,30
Prague,14.304780355475945,50.077073126993405,-1043015,-751225,29.04.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Rain,Car,HYUNDAI,26
Prague,14.409764707196409,50.09129297629586,-1042479,-743566,29.04.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,ŠKODA,30
Prague,14.429234216339301,50.07716155135246,-1044226,-742400,29.04.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,HYUNDAI,33
Prague,14.437146924889358,50.0331637254607,-1049151,-742505,01.05.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,MERCEDES,30
Prague,14.384706781578068,50.07815929411588,-1043681,-745542,02.05.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,ŠKODA,46
Prague,14.526748930492293,50.14698876079597,-1037477,-734437,02.05.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Motorcycle,HONDA,39
Prague,14.457957197497135,50.12040195002114,-1039741,-739710,02.05.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Motorcycle,PEUGEOT,51
Prague,14.461032801021018,50.12603644672467,-1039150,-739407,02.05.2023,Local Road,Tram Collision,From Side (T-bone),Slight,Good,Car,ŠKODA,46
Prague,14.59756519397238,50.07932802521487,-1045615,-730430,03.05.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Motorcycle,KAWASAKI,32
Prague,14.393995569948352,49.977346320641026,-1054879,-746416,03.05.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,ŠKODA,43
Prague,14.402496760394053,50.10032378423016,-1041413,-743944,04.05.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Motorcycle,HONDA,34
Prague,14.623379698014244,50.12453844621718,-1040879,-727927,04.05.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,ŠKODA,26
Prague,14.347591482416432,49.999404646860604,-1051993,-749376,27.04.2023,Local Road,Moving Vehicle Collision,Rear,Serious,Good,Truck,VOLKSWAGEN,33
Prague,14.504044067685276,50.06214078483604,-1046608,-737321,04.05.2023,Local Road,Tram Collision,Rear,Slight,Good,Bus,SOR,27
Prague,14.476847716717158,50.11195622472084,-1040855,-738499,04.05.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Car,NISSAN,23
Prague,14.472550970950392,50.07619454078073,-1044754,-739343,04.05.2023,Local Road,Moving Vehicle Collision,Rear,Slight,Good,Car,TOYOTA,22
Prague,14.505935731431554,50.0395843256101,-1049112,-737526,04.05.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Motorcycle,HARLEY,31
Prague,14.491926525518862,50.10315491200476,-1041971,-737563,04.05.2023,Local Road,Tram Collision,From Side (T-bone),Slight,Good,Car,KIA,50
Prague,14.498236920650516,50.1383558862815,-1038153,-736586,04.05.2023,Local Road,Moving Vehicle Collision,From Side (T-bone),Serious,Good,Motorcycle,YAMAHA,39
Prague,14.437235056252575,50.09761777625418,-1042050,-741523,05.05.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Motorcycle,PIAGGIO,68
Prague,14.447162307144426,50.06035051884891,-1046253,-741383,06.05.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Rain,Motorcycle,PIAGGIO,37
Prague,14.48474382121692,50.01337179660039,-1051795,-739425,07.05.2023,Local Road,Moving Vehicle Collision,Frontal,Slight,Good,Car,FORD,24
Prague,14.404452992098243,50.08316178030315,-1043323,-744066,09.05.2023,Local Road,Tram Collision,Rear,Slight,Good,Car,ŠKODA,70
Prague,14.437280521454122,50.108766610207375,-1040822,-741351,09.05.2023,Local Road,Moving Vehicle Collision,Side (Lateral),Slight,Good,Bus,SOR,61
